School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Purdue,28,0.643,15.55,11.23,0.684,0.917,0.455,71.036,66.714,4.321,1.14,17.54,2021
Purdue-Fort Wayne,23,0.348,-12.15,-8.63,0.3,0.455,0.25,75.13,78.652,-3.522,0.835,17.96,2021
Quinnipiac,22,0.409,-9.1,-7.6,0.412,0.615,0.167,67.5,69,-1.5,0.891,19.09,2021
Radford,27,0.556,-6.2,-6.6,0.667,0.643,0.5,67.63,64.63,3,0.747,15.74,2021
Rhode Island,25,0.4,5.29,4.93,0.412,0.667,0.182,71.44,71.08,0.36,0.858,17.76,2021
Rice,28,0.536,-3.73,-1.49,0.375,0.75,0.25,73.857,73.643,0.214,1.007,13.86,2021
Richmond,23,0.609,9.04,5,0.545,0.6,0.625,74.652,69,5.652,1.357,15.48,2021
Rider,23,0.261,-12.24,-5.76,0.278,0.111,0.333,67.522,74,-6.478,0.976,18.74,2021
Robert Morris,19,0.211,-13.2,-5.53,0.2,0.333,0.1,72.316,78.632,-6.316,1.177,18.32,2021
Rutgers,28,0.571,14.14,12.5,0.5,0.714,0.4,69.25,67.607,1.643,1.196,17.5,2021
Sacramento St.,20,0.4,-7.76,-3.65,0.357,0.625,0.273,72.15,72.1,0.05,1.262,17.8,2021
Sacred Heart,18,0.5,-12.19,-7.47,0.563,0.571,0.455,70.278,75,-4.722,1.034,16.61,2021
Saint Francis (PA),22,0.273,-10.3,-5.8,0.278,0.4,0.167,68.864,73.364,-4.5,0.904,17.18,2021
Saint Joseph's,20,0.25,-4.56,5.89,0.25,0.5,0.1,72.15,82.6,-10.45,1.021,17.9,2021
Saint Louis,21,0.667,11.76,2.19,0.6,0.923,0.2,75,65.429,9.571,1.447,17.05,2021
Saint Mary's,24,0.583,8.05,6.43,0.4,0.75,0.4,64.25,62.625,1.625,0.952,16.67,2021
Saint Peter's,25,0.56,-5.48,-7.2,0.556,0.727,0.364,63.2,61.48,1.72,0.787,20,2021
Sam Houston St.,28,0.679,-3.29,-4.87,0.813,0.923,0.538,79.607,70.321,9.286,1.082,20.18,2021
Samford,19,0.316,-8.93,-1.63,0.182,0.444,0.222,76.842,79.474,-2.632,0.919,20.89,2021
San Diego,14,0.214,-5.22,5.64,0.222,0,0.375,66.214,77.071,-10.857,1,18,2021
San Diego St.,28,0.821,14.36,2.99,0.824,0.867,0.75,73.643,61.179,12.464,1.258,18.39,2021
San Francisco,25,0.44,6,3.84,0.308,0.375,0.4,71.44,69.28,2.16,1.021,19.32,2021
San Jose St.,21,0.238,-17.5,0.98,0.143,0.4,0,65.762,81.333,-15.571,0.804,16.62,2021
Santa Clara,20,0.6,-0.05,2.16,0.444,0.667,0.571,69.65,70.6,-0.95,0.923,17.85,2021
Seattle,23,0.522,-5.24,-3.51,0.444,0.667,0.333,72.913,68.609,4.304,1.073,18.87,2021
Seton Hall,27,0.519,11.12,9.53,0.526,0.636,0.462,71.259,69.667,1.593,0.991,16.37,2021
Siena,17,0.706,-3.99,-8.58,0.75,0.75,0.75,67.588,63,4.588,0.982,15.53,2021
South Alabama,28,0.607,-6.03,-5.86,0.588,0.667,0.545,74.107,70.893,3.214,0.943,15.5,2021
South Carolina,21,0.286,3.39,10.01,0.25,0.333,0.222,72.524,79.143,-6.619,0.895,19.1,2021
South Carolina St.,18,0.056,-24.9,-7.56,0.125,0.143,0,61.222,78.556,-17.333,0.571,18.56,2021
South Carolina UpSt.,23,0.217,-13.7,-5.2,0.313,0.273,0.167,65.87,74.435,-8.565,0.849,18.52,2021
South Dakota,25,0.56,-1.25,-3.5,0.733,0.778,0.556,75.96,72.2,3.76,1.302,18.68,2021
South Dakota St.,23,0.696,3.27,-2.05,0.75,0.889,0.667,80.435,73.478,6.957,1.155,16.09,2021
South Florida,22,0.409,-0.02,6.27,0.286,0.4,0.429,65.864,71.409,-5.545,0.815,17.18,2021
Southeast Missouri St.,27,0.407,-10.18,-7.51,0.45,0.538,0.25,69.037,71.704,-2.667,0.901,19,2021
Southeastern Louisiana,26,0.308,-17.4,-8.02,0.313,0.429,0.235,68.269,77.654,-9.385,0.63,19.58,2021
Southern,19,0.421,-13.49,-13.07,0.571,0.714,0.3,69.842,70.263,-0.421,0.864,20.58,2021
USC,33,0.758,20.5,10.65,0.75,0.867,0.7,74.939,65.091,9.848,1.123,15.09,2021
Southern Illinois,26,0.462,-3.56,0.72,0.278,0.615,0.273,65.538,68.077,-2.538,1.132,14.23,2021
SIU Edwardsville,26,0.346,-14.94,-6.02,0.368,0.2,0.462,65.731,72.962,-7.231,0.816,16.85,2021
SMU,17,0.647,10.97,4.44,0.636,0.75,0.714,74.647,68.118,6.529,1.092,17.53,2021
Southern Miss,25,0.32,-6.88,-2.1,0.235,0.462,0.182,64.2,66.72,-2.52,0.861,15.92,2021
Southern Utah,24,0.833,0.63,-5.69,0.857,1,0.625,84.208,69.542,14.667,1.166,16.88,2021
St. Bonaventure,21,0.762,13.44,4.49,0.733,0.889,0.571,70.048,61.095,8.952,1.36,15.33,2021
St. Francis (NY),19,0.474,-10.23,-8.38,0.5,0.4,0.556,77.684,79.526,-1.842,1.183,20.16,2021
St. John's,27,0.593,9.41,7.19,0.526,0.786,0.4,78.963,76.741,2.222,1.294,18.26,2021
Stanford,27,0.519,10.15,10.01,0.5,0.556,0.5,69.741,69.593,0.148,0.824,16.59,2021
Stephen F. Austin,21,0.762,-1.63,-8.46,0.813,0.909,0.6,80.286,70.667,9.619,0.951,19.95,2021
Stetson,27,0.444,-7.26,-4.51,0.438,0.583,0.273,71.296,70.222,1.074,1.036,16.41,2021
Stony Brook,23,0.391,-6.14,-4.73,0.438,0.5,0.333,66.174,65.609,0.565,0.874,16.83,2021
Syracuse,28,0.643,13.27,8.59,0.563,0.929,0.222,74.821,70.143,4.679,1.322,14.61,2021
Tarleton St.,20,0.5,-7.28,-3.02,0.417,0.667,0.364,73.35,62.3,11.05,1.273,19.55,2021
TCU,26,0.462,2.61,6.99,0.313,0.462,0.333,66.846,71.231,-4.385,0.916,15.65,2021
Temple,16,0.313,2.57,5.57,0.286,0.375,0.286,65.813,68.813,-3,1.005,17.56,2021
Tennessee,27,0.667,16.87,8.46,0.588,0.813,0.5,71.889,63.481,8.407,1.19,16.44,2021
Tennessee St.,23,0.174,-14.1,-7.23,0.15,0.333,0,68.391,74,-5.609,0.759,20.78,2021
Tennessee Tech,27,0.185,-14.13,-3.84,0.25,0.455,0,66.556,76.852,-10.296,0.888,15.93,2021
Tennessee-Martin,24,0.333,-19.41,-5.89,0.3,0.462,0.182,65.458,76.958,-11.5,0.843,17.88,2021
Texas,27,0.704,15.51,9.36,0.647,0.615,0.75,74.37,68.222,6.148,0.908,19.67,2021
Texas A&M,18,0.444,2.2,4.86,0.2,0.6,0.333,64.278,66.944,-2.667,0.82,16.89,2021
Texas A&M-Corpus Christi,24,0.208,-16.77,-6.1,0.133,0.333,0.091,64.75,71.5,-6.75,0.768,17.71,2021
Texas Southern,26,0.654,-6.15,-9.03,0.769,0.8,0.455,73.885,69.462,4.423,0.787,17.88,2021
Texas St.,25,0.72,-3.85,-7.37,0.8,0.727,0.75,66.4,61.72,4.68,1.021,16.88,2021
Texas Tech,29,0.621,16.59,7.28,0.529,0.733,0.556,72.517,63.207,9.31,1.204,17.31,2021
Texas-Rio Grande Valley,19,0.474,-9.63,-5.23,0.286,0.727,0.143,72.421,67.737,4.684,1.028,21.53,2021
The Citadel,25,0.52,-6.07,-1.45,0.313,0.786,0.111,80.76,78.36,2.4,1.288,16.2,2021
Toledo,30,0.7,6.59,-1.88,0.789,0.923,0.583,81.1,72.633,8.467,1.446,15.27,2021
Towson,18,0.222,-9.83,-2.33,0.25,0.5,0,67.444,74.944,-7.5,0.759,17.67,2021
Troy,28,0.393,-12.06,-4.06,0.25,0.636,0.154,65.321,69.357,-4.036,0.767,17.14,2021
Tulane,23,0.435,1.03,3.59,0.25,0.5,0.333,63.913,66.478,-2.565,1.043,15.7,2021
Tulsa,23,0.478,4.19,5.43,0.438,0.583,0.5,68.391,65.609,2.783,1.065,16.48,2021
UAB,29,0.759,5.8,-3.83,0.722,0.882,0.6,72.586,60.276,12.31,1.013,15.21,2021
UC Davis,18,0.556,-5.83,-4.24,0.583,0.571,0.571,71.944,71.611,0.333,0.747,19.94,2021
UC Irvine,27,0.667,3.46,-0.86,0.765,0.909,0.5,72.222,63.407,8.815,0.911,16.67,2021
UC Riverside,22,0.636,4.12,-2.43,0.667,0.556,0.7,70.182,63.636,6.545,1.167,17.45,2021
UC San Diego,17,0.412,-6.95,0.98,0.286,0.7,0,71.412,72.118,-0.706,1.307,13.65,2021
UC Santa Barbara,27,0.815,7.8,-2.08,0.833,1,0.667,75.963,62.815,13.148,1.49,15.89,2021
UCLA,32,0.688,16.3,11.34,0.684,0.917,0.455,73.406,68.438,4.969,1.301,16.06,2021
UNC Asheville,20,0.5,-6.99,-7.59,0.643,0.6,0.4,73.4,72.8,0.6,0.844,18.4,2021
UNC Greensboro,30,0.7,3.48,-2.15,0.722,0.7,0.769,72.967,67.333,5.633,1.125,18.07,2021
UNC Wilmington,17,0.412,-6.84,-6.47,0.143,0.429,0.429,76.294,73.706,2.588,1.084,18,2021
UT Arlington,26,0.5,-7.23,-4.57,0.529,0.692,0.273,73.692,70.269,3.423,1.145,16.69,2021
Utah,25,0.48,11.86,9.54,0.421,0.615,0.3,72.12,69.8,2.32,1.204,16.76,2021
Utah St.,29,0.69,10.99,1.32,0.765,0.833,0.625,72.586,62.345,10.241,1.164,15.03,2021
Utah Tech,21,0.381,-14.01,-3.43,0.286,0.417,0.333,69.571,76.333,-6.762,1.003,20.9,2021
Utah Valley,22,0.5,-3.41,-1.61,0.692,0.667,0.333,74.182,74.318,-0.136,1.125,19.59,2021
UTEP,24,0.5,1.07,1.26,0.5,0.833,0.182,70.75,68.5,2.25,1.088,17.54,2021
UTSA,26,0.577,-1.22,-0.17,0.563,0.857,0.2,78.846,73.308,5.538,1.268,18.27,2021
Valparaiso,28,0.357,-4.21,1.14,0.389,0.5,0.267,65.036,67.929,-2.893,1.029,15.89,2021
Vanderbilt,25,0.36,6.14,6.74,0.188,0.462,0.2,71.76,72.36,-0.6,0.919,17.6,2021
Vermont,15,0.667,1.99,-7.61,0.714,0.667,0.667,73,63.4,9.6,1.153,17.73,2021
Villanova,25,0.72,17.47,9.19,0.733,1,0.5,74.8,66.52,8.28,1.648,15.48,2021
Virginia,25,0.72,15.27,7.59,0.765,0.909,0.667,68.2,60.52,7.68,1.507,12.92,2021
VCU,27,0.731,11.3,4.76,0.714,0.857,0.625,69.037,62.741,6.296,0.913,17.96,2021
VMI,25,0.52,-0.41,-0.78,0.5,0.917,0.091,80.04,75.88,4.16,1.252,14.56,2021
Virginia Tech,22,0.682,12.59,6.5,0.692,0.833,0.5,72.045,65.955,6.091,1.223,16.45,2021
Wagner,20,0.65,-5.35,-7.9,0.722,0.7,0.6,71.25,68.7,2.55,1.049,20.3,2021
Wake Forest,22,0.273,1.72,8.06,0.167,0.455,0.1,66.273,71.955,-5.682,0.84,16.59,2021
Washington,26,0.192,1.88,11.61,0.2,0.364,0.1,67.654,77.385,-9.731,0.789,18.15,2021
Washington St.,27,0.519,8.12,6.93,0.368,0.688,0.333,68.63,67.444,1.185,0.796,18.37,2021
Weber St.,23,0.739,3.14,-5.22,0.8,1,0.545,81.783,69.304,12.478,1.198,16.35,2021
West Virginia,29,0.655,15.36,10.05,0.647,0.615,0.778,77.345,72.034,5.31,1.17,16.31,2021
Western Carolina,27,0.407,-7.43,-2.03,0.235,0.545,0.308,75.519,78.852,-3.333,0.94,16.85,2021
Western Illinois,22,0.318,-12.48,-4.62,0.357,0.286,0.308,73,79.364,-6.364,0.787,20.18,2021
Western Kentucky,29,0.724,5.19,0.5,0.786,0.846,0.625,72.69,68,4.69,0.956,14.14,2021
Western Michigan,21,0.238,-11.51,-1.21,0.25,0.182,0.3,63.095,71.952,-8.857,0.803,16.48,2021
Wichita St.,22,0.727,9.36,6.91,0.846,0.833,0.714,71.455,66.773,4.682,1.163,15.55,2021
William & Mary,17,0.412,-11.23,-3.99,0.4,0.25,0.455,64.765,72,-7.235,0.789,15.59,2021
Winthrop,25,0.92,4.69,-7.15,0.944,0.917,1,78.88,67.04,11.84,1.069,18.36,2021
Wisconsin,31,0.581,17.22,11.93,0.5,0.688,0.455,69.903,64.613,5.29,1.479,16.13,2021
Wofford,24,0.625,1.76,-0.24,0.706,0.75,0.6,74.333,67.792,6.542,1.147,15.83,2021
Wright St.,24,0.75,6.89,-7.65,0.8,0.692,0.818,81.958,67.417,14.542,1.175,13.67,2021
Wyoming,25,0.56,-1.23,-2.31,0.357,0.583,0.444,76.6,75.52,1.08,1.249,18.72,2021
Xavier,21,0.619,11.09,6.47,0.462,0.846,0.286,74.81,70.19,4.619,1.57,15.48,2021
Youngstown St.,27,0.556,-9.78,-8.17,0.45,0.667,0.417,74.444,72.222,2.222,1.126,16.33,2021
Abilene Christian,34,0.794,-1.91,-7.34,0.778,0.867,0.714,73.588,63.559,10.029,1.29,18.68,2019
Air Force,32,0.438,-4.28,0.24,0.444,0.6,0.25,68.094,71.688,-3.594,1.026,16.97,2019
Akron,33,0.515,4.86,1.09,0.444,0.824,0.091,68.818,63.848,4.97,1.028,17.24,2019
Alabama,34,0.529,9.45,9.01,0.444,0.625,0.333,72,71.559,0.441,0.899,16.82,2019
Alabama A&M,32,0.156,-19.23,-8.38,0.222,0.364,0,60.563,71.406,-10.844,0.791,18.34,2019
Alabama St.,31,0.387,-15.6,-7.84,0.5,0.727,0.188,67.29,72.097,-4.806,0.694,18.23,2019
Albany,32,0.375,-9.38,-6.7,0.438,0.429,0.375,67.188,69.25,-2.063,0.885,17.69,2019
Alcorn St.,31,0.323,-22.08,-8.97,0.333,0.769,0,64.355,70.774,-6.419,0.795,17.68,2019
American,30,0.5,-4.19,-7.23,0.5,0.533,0.429,72.033,69,3.033,1.041,17.33,2019
Appalachian St.,32,0.344,-3.73,0.1,0.333,0.643,0.143,79.906,79.344,0.563,0.971,18.28,2019
Arizona,32,0.531,8.32,6.32,0.444,0.706,0.364,70.906,68.906,2,1.076,18.56,2019
Arizona St.,34,0.676,10.28,6.04,0.667,0.813,0.545,77.588,73.353,4.235,0.985,19.85,2019
Arkansas,34,0.529,11.75,8.78,0.444,0.667,0.385,75.265,72.294,2.971,1.207,20.38,2019
Arkansas St.,32,0.406,-7.1,-1.23,0.389,0.714,0.133,73.719,77.344,-3.625,0.81,21.38,2019
Arkansas Pine Bluff,32,0.406,-14.43,-8.18,0.556,0.8,0.19,65.875,70.906,-5.031,0.764,19.66,2019
Army,32,0.406,-7.57,-4.73,0.444,0.714,0.188,70.875,72.031,-1.156,1.327,17,2019
Auburn,40,0.75,20.84,10.92,0.611,0.882,0.4,79.7,68.75,10.95,1.227,18.28,2019
Austin Peay,33,0.667,0.59,-4.41,0.722,0.833,0.533,82.182,73.121,9.061,1.158,18.06,2019
Ball St.,33,0.485,3.39,1.21,0.333,0.5,0.533,75.091,71.576,3.515,0.888,17.55,2019
Baylor,34,0.588,13.38,9.26,0.556,0.722,0.455,71.824,67.706,4.118,1.061,18.71,2019
Belmont,33,0.818,9.12,-2.6,0.889,0.929,0.8,86.909,73.909,13,1.715,15.42,2019
Bethune-Cookman,31,0.452,-11.98,-9.74,0.563,0.733,0.2,73.871,72.419,1.452,0.886,19.68,2019
Binghamton,33,0.303,-13.92,-4.69,0.313,0.313,0.294,65.212,72,-6.788,0.792,14.36,2019
Boise St.,33,0.394,3.61,1.08,0.389,0.533,0.231,71.636,68.576,3.061,1.05,17.27,2019
Boston College,31,0.452,5.83,7.76,0.278,0.556,0.2,70.839,72.774,-1.935,1.011,16.42,2019
Boston University,33,0.455,-6.61,-5.39,0.389,0.5,0.444,72.273,72.333,-0.061,1.052,17.52,2019
Bowling Green St.,34,0.647,4.24,0.86,0.667,0.875,0.385,78.471,73.412,5.059,1.036,17.53,2019
Bradley,35,0.571,-0.08,-0.9,0.5,0.625,0.385,66.543,65.286,1.257,0.961,17.63,2019
BYU,32,0.594,6.15,3.31,0.688,0.813,0.385,78.969,76.125,2.844,1.362,19.53,2019
Brown,32,0.625,-0.62,-3.29,0.5,0.813,0.438,73.594,68.875,4.719,0.913,18.75,2019
Bryant,30,0.333,-15.19,-7.66,0.389,0.571,0.133,69.6,77.133,-7.533,0.833,19.17,2019
Bucknell,33,0.636,0.59,-2.93,0.722,0.8,0.467,76.788,73.273,3.515,1.269,19,2019
Buffalo,36,0.889,15.56,2.62,0.889,1,0.8,84.361,70.833,13.528,1.383,18.31,2019
Butler,33,0.485,9.22,8.1,0.389,0.75,0.167,71.939,70.818,1.121,1.209,17.97,2019
Cal Poly,29,0.207,-13.95,-3.54,0.125,0.333,0.067,66.552,75.276,-8.724,0.901,18.76,2019
Cal St. Bakersfield,34,0.529,-5.12,-2.63,0.438,0.692,0.412,70.941,70.941,0,0.863,21.97,2019
Cal St. Fullerton,34,0.471,-3.29,-1.14,0.625,0.692,0.267,71.676,71,0.676,0.904,18.79,2019
Cal St. Northridge,34,0.382,-6.54,-3.39,0.438,0.438,0.267,76.5,79.441,-2.941,1.249,18.85,2019
California,31,0.258,-3.16,5.42,0.167,0.438,0.091,68.419,77,-8.581,0.96,18.52,2019
California Baptist,31,0.516,-3.89,-4.12,0.438,0.533,0.571,77.516,72.29,5.226,0.91,20.1,2019
Campbell,33,0.606,-3.62,-4.39,0.75,0.75,0.385,75.606,70.545,5.061,1.43,15.82,2019
Canisius,32,0.469,-8.79,-4.85,0.611,0.385,0.643,70.313,74.25,-3.938,1.131,19.59,2019
Central Arkansas,33,0.424,-11.37,-4.81,0.444,0.615,0.278,72.212,75.697,-3.485,0.969,18.52,2019
Central Connecticut St.,31,0.355,-14.02,-6.71,0.278,0.417,0.294,71.129,76.355,-5.226,0.827,19.26,2019
UCF,33,0.727,13.37,5.58,0.722,0.882,0.5,72.273,64.485,7.788,1.117,16.79,2019
Central Michigan,35,0.657,2.79,-0.34,0.556,0.765,0.538,82.743,76.857,5.886,1.099,16.94,2019
Charleston Southern,34,0.529,-2.43,-4.19,0.563,0.75,0.267,75.706,69.676,6.029,1.104,16.79,2019
Charlotte,29,0.276,-8.34,-0.89,0.278,0.357,0.25,61.241,68.69,-7.448,0.689,16.9,2019
Chattanooga,32,0.375,-7.87,-0.76,0.389,0.571,0.267,70.875,74.25,-3.375,1.022,17.28,2019
Chicago St.,32,0.094,-24.83,0.67,0,0.273,0,61.563,84.688,-23.125,0.734,19.53,2019
Cincinnati,35,0.8,14.53,5.5,0.778,0.889,0.636,71.714,62.686,9.029,1.277,16.09,2019
Clemson,34,0.588,13.85,8.99,0.5,0.737,0.4,68.794,63.941,4.853,0.911,16.24,2019
Cleveland St.,31,0.323,-7.96,-1.52,0.278,0.471,0.143,74.194,78.613,-4.419,1.117,17.77,2019
Coastal Carolina,34,0.5,-0.5,-1.94,0.5,0.714,0.353,77.676,74.118,3.559,0.956,20.32,2019
Colgate,35,0.686,1.23,-3.83,0.722,0.938,0.5,75.657,70.229,5.429,1.186,15.63,2019
College of Charleston,33,0.727,2.36,-2.95,0.667,0.867,0.615,74.333,68.636,5.697,1.115,14.73,2019
Colorado,36,0.639,9.68,3.6,0.556,0.882,0.357,73.556,67.472,6.083,0.998,17.11,2019
Colorado St.,32,0.375,-0.11,1.41,0.389,0.471,0.273,74.781,75.188,-0.406,1.269,16.31,2019
Columbia,28,0.357,-5.18,-2.14,0.357,0.417,0.308,73.536,73.286,0.25,1.21,19.25,2019
Connecticut,33,0.485,6.81,4.32,0.333,0.722,0.111,73.818,71.333,2.485,0.988,19.48,2019
Coppin St.,33,0.242,-18.9,-7.11,0.438,0.3,0.2,64.182,75.97,-11.788,0.587,18.79,2019
Cornell,31,0.484,-6.12,-2.02,0.5,0.692,0.333,69.323,71.323,-2,1.094,15.87,2019
Creighton,35,0.571,12,8.59,0.5,0.684,0.333,77.914,73.171,4.743,1.209,16.57,2019
Dartmouth,30,0.367,-5.75,-3,0.143,0.571,0.143,72,70.533,1.467,1.18,15.6,2019
Davidson,34,0.706,6.38,1.96,0.778,0.875,0.583,70.853,65.559,5.294,1.32,15.85,2019
Dayton,33,0.636,9.67,2.91,0.722,0.765,0.636,72.909,66.152,6.758,1.307,14.03,2019
Delaware,33,0.515,-7.91,-4.82,0.444,0.563,0.467,71.273,72.121,-0.848,1.124,15.85,2019
Delaware St.,31,0.194,-26.82,-10.13,0.125,0.25,0.118,63.097,76.484,-13.387,0.766,19,2019
Denver,30,0.267,-11.84,-2.97,0.188,0.462,0.067,69.533,77.3,-7.767,0.868,16.87,2019
DePaul,36,0.528,6,4.05,0.389,0.696,0.25,78.361,76.417,1.944,1.051,17.5,2019
Detroit,31,0.355,-6.33,-0.36,0.444,0.5,0.222,73.516,79.484,-5.968,0.899,17.03,2019
Drake,34,0.706,2.52,-0.66,0.667,0.867,0.538,75.382,70.206,5.176,1.154,16.71,2019
Drexel,32,0.406,-7.02,-2.93,0.389,0.563,0.214,75.781,77.344,-1.563,1.231,16.94,2019
Duke,38,0.842,26.9,11.98,0.778,0.882,0.778,82.711,67.789,14.921,1.242,15.66,2019
Duquesne,32,0.594,0.53,-0.63,0.556,0.778,0.4,73.469,72.313,1.156,0.98,18.13,2019
East Carolina,31,0.323,-5.49,1.31,0.167,0.471,0.083,67.355,74.161,-6.806,0.918,20.06,2019
East Tennessee St.,34,0.706,5.21,-1.79,0.722,0.813,0.571,79.618,69.735,9.882,1.106,17.74,2019
Eastern Illinois,32,0.438,-11.81,-5.01,0.389,0.538,0.333,71.844,76.781,-4.938,1.016,17.78,2019
Eastern Kentucky,31,0.419,-7.4,-2.47,0.333,0.643,0.214,82.645,83.129,-0.484,1.025,21.32,2019
Eastern Michigan,32,0.469,0.4,4.43,0.5,0.611,0.286,68.844,69.156,-0.313,0.835,16.53,2019
Eastern Washington,34,0.471,-6.77,-4.17,0.6,0.692,0.235,72.353,74.324,-1.971,1.165,18.59,2019
Elon,32,0.344,-11.53,-3.56,0.389,0.313,0.462,70.813,76.406,-5.594,1.133,16.84,2019
Evansville,32,0.344,-3.84,0.13,0.278,0.563,0.133,69.813,72.406,-2.594,0.947,18.81,2019
Fairfield,31,0.29,-10.2,-7.14,0.333,0.417,0.188,66.839,69.903,-3.065,0.92,19.74,2019
Fairleigh Dickinson,35,0.6,-6.09,-7.24,0.667,0.765,0.438,74.857,71.857,3,1.019,16.51,2019
Florida,36,0.556,15.42,11.22,0.5,0.6,0.455,67.778,63.583,4.194,1.04,17.06,2019
Florida A&M,31,0.387,-13.57,-8.09,0.563,0.667,0.3,62.161,66.355,-4.194,0.711,18.71,2019
Florida Atlantic,33,0.515,-1.42,-1.76,0.444,0.643,0.4,70.364,67.97,2.394,0.864,17.42,2019
Florida Gulf Coast,32,0.438,-5.11,-1.48,0.563,0.714,0.286,71.25,73.75,-2.5,0.937,16.06,2019
Florida International,34,0.588,-4.55,-1.45,0.556,0.75,0.4,82.294,80.412,1.882,1.029,19.26,2019
Florida St.,37,0.784,17.99,10.26,0.722,0.938,0.6,74.892,67.162,7.73,0.965,19.05,2019
Fordham,32,0.375,-5.02,-2.4,0.167,0.474,0.273,65.875,66.906,-1.031,1.043,17.47,2019
Fresno St.,32,0.719,8.99,0.67,0.722,0.765,0.7,76.5,67.563,8.938,1.143,18.5,2019
Furman,33,0.758,7.46,-1.5,0.722,0.813,0.733,77.636,66.121,11.515,1.287,14.58,2019
Gardner Webb,35,0.657,-2.61,-4.43,0.647,1,0.471,77.657,70.514,7.143,1.233,16.03,2019
George Mason,33,0.545,0.84,0.08,0.611,0.647,0.5,70.121,69.364,0.758,0.932,17.06,2019
George Washington,33,0.273,-6.65,1.2,0.222,0.353,0.167,63.545,71.394,-7.848,0.908,15.94,2019
Georgetown,33,0.576,6.8,5.31,0.5,0.684,0.455,79.545,78.061,1.485,1.223,17.61,2019
Georgia,32,0.344,5.31,8.12,0.111,0.471,0.182,71.063,73.875,-2.813,0.836,17.66,2019
Georgia Southern,33,0.636,3.75,0.13,0.667,0.714,0.5,82.606,75.424,7.182,0.894,17.88,2019
Georgia St.,34,0.706,2.44,0.65,0.722,0.929,0.5,76.412,73.265,3.147,1.061,17.15,2019
Georgia Tech,32,0.438,6.93,8.15,0.333,0.611,0.25,65.344,66.563,-1.219,0.943,17.5,2019
Gonzaga,37,0.892,27.79,5.01,1,1,0.9,87.649,64.865,22.784,1.695,16.3,2019
Grambling,34,0.5,-9.73,-9.34,0.556,0.786,0.333,71.353,68.706,2.647,0.784,20.56,2019
Grand Canyon,34,0.588,3.85,-1.49,0.625,0.857,0.385,75.294,69.206,6.088,1.163,17.59,2019
Green Bay,38,0.553,-2.24,-0.36,0.556,0.833,0.278,81.316,79.895,1.421,1.156,19.21,2019
Hampton,35,0.514,-3.34,-5.06,0.563,0.8,0.333,81.343,76.257,5.086,1.285,18.54,2019
Hartford,33,0.545,-3.95,-4.89,0.625,0.714,0.471,75.061,72.939,2.121,1.152,16.85,2019
Harvard,31,0.613,1.86,0.66,0.714,0.818,0.471,71.677,70.129,1.548,0.752,17.87,2019
Hawaii,31,0.581,-1.3,-3.61,0.563,0.706,0.444,72.29,68.742,3.548,1.299,17.94,2019
High Point,31,0.516,-5.63,-4.39,0.563,0.692,0.385,68.226,67.903,0.323,0.995,16.19,2019
Hofstra,35,0.771,4.68,-4.53,0.833,0.938,0.625,83.4,72.943,10.457,1.439,15.03,2019
Holy Cross,33,0.485,-6.43,-4.01,0.333,0.571,0.353,67.152,69.576,-2.424,1.466,14.61,2019
Houston,37,0.892,18.91,4.61,0.889,0.95,0.909,75.324,61.027,14.297,1.337,19.05,2019
Houston Christian,30,0.4,-9.36,-5.53,0.444,0.692,0.188,82.167,82.8,-0.633,1.016,19.77,2019
Howard,34,0.5,-12.3,-9.52,0.625,0.429,0.529,78.941,78.265,0.676,1.084,19.18,2019
Idaho,32,0.156,-18.74,-6.19,0.1,0.267,0.071,67.938,76.875,-8.938,0.921,18.19,2019
Idaho St.,30,0.367,-13.17,-4.81,0.35,0.462,0.313,73.267,78.967,-5.7,1.064,16.57,2019
Illinois,33,0.364,8.95,11.53,0.35,0.6,0.1,72.667,75.242,-2.576,1.025,21.21,2019
Illinois St.,33,0.515,-2.06,0.25,0.5,0.75,0.167,68.394,70.121,-1.727,1.01,17.48,2019
Illinois-Chicago,32,0.5,-3.15,-1.99,0.556,0.75,0.25,74.719,74.531,0.188,1.046,21.38,2019
Incarnate Word,31,0.194,-18.93,-5.11,0.056,0.357,0,65.935,75.968,-10.032,0.702,19.1,2019
Indiana,35,0.543,13.82,10.1,0.4,0.714,0.25,71.543,67.829,3.714,1.083,17.03,2019
Indiana St.,31,0.484,-2.72,0.62,0.389,0.643,0.308,69.226,71.548,-2.323,0.851,18.9,2019
Iona,33,0.515,-4.78,-5.5,0.667,0.727,0.357,76.727,76,0.727,1.064,17.09,2019
Iowa,35,0.657,14.27,9.84,0.5,0.778,0.4,78.286,73.857,4.429,1.269,16.14,2019
Iowa St.,35,0.657,18.07,9.3,0.5,0.75,0.455,76.914,68.143,8.771,1.391,14.77,2019
IUPUI,33,0.485,-2.72,-3.04,0.444,0.733,0.188,75.97,73.606,2.364,1.019,17.52,2019
Jackson St.,32,0.406,-14.6,-9.33,0.556,0.692,0.176,61.688,65.844,-4.156,0.823,20.09,2019
Jacksonville,32,0.375,-8.27,-4.74,0.313,0.385,0.353,74.531,75.063,-0.531,0.987,16.34,2019
Jacksonville St.,33,0.727,1.59,-5.47,0.833,0.917,0.588,78,69.182,8.818,1.025,16.76,2019
